Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
DST,Texans  (14061175),Texans ,14061175,DST,2600,BUF@HOU 01/04/2020 04:35PM ET,HOU,5.88
TE,Matt LaCosse (14061144),Matt LaCosse,14061144,TE/FLEX,2600,TEN@NE 01/04/2020 08:15PM ET,NE,2.92
TE,Lee Smith (14061146),Lee Smith,14061146,TE/FLEX,2500,BUF@HOU 01/04/2020 04:35PM ET,BUF,0.82
TE,Tommy Sweeney (14061148),Tommy Sweeney,14061148,TE/FLEX,2500,BUF@HOU 01/04/2020 04:35PM ET,BUF,3.23
TE,Jordan Thomas (14061150),Jordan Thomas,14061150,TE/FLEX,2500,BUF@HOU 01/04/2020 04:35PM ET,HOU,0.36
TE,Tyler Conklin (14061158),Tyler Conklin,14061158,TE/FLEX,2500,MIN@NO 01/05/2020 01:05PM ET,MIN,0.92
TE,Richard Rodgers (14061162),Richard Rodgers,14061162,TE/FLEX,2500,SEA@PHI 01/05/2020 04:40PM ET,PHI,0
TE,Luke Willson (14061164),Luke Willson,14061164,TE/FLEX,2500,SEA@PHI 01/05/2020 04:40PM ET,SEA,1.99
TE,Tyrone Swoopes (14061166),Tyrone Swoopes,14061166,TE/FLEX,2500,SEA@PHI 01/05/2020 04:40PM ET,SEA,0.3
TE,Tyler Ott (14061168),Tyler Ott,14061168,TE/FLEX,2500,SEA@PHI 01/05/2020 04:40PM ET,SEA,0
TE,Anthony Firkser (14061152),Anthony Firkser,14061152,TE/FLEX,2500,TEN@NE 01/04/2020 08:15PM ET,TEN,2.69
TE,Delanie Walker (14061154),Delanie Walker,14061154,TE/FLEX,2500,TEN@NE 01/04/2020 08:15PM ET,TEN,7.79
TE,Beau Brinkley (14061156),Beau Brinkley,14061156,TE/FLEX,2500,TEN@NE 01/04/2020 08:15PM ET,TEN,0
TE,Ryan Izzo (14061160),Ryan Izzo,14061160,TE/FLEX,2500,TEN@NE 01/04/2020 08:15PM ET,NE,3.9
DST,Titans  (14061176),Titans ,14061176,DST,2400,TEN@NE 01/04/2020 08:15PM ET,TEN,8.31
DST,Vikings  (14061177),Vikings ,14061177,DST,2200,MIN@NO 01/05/2020 01:05PM ET,MIN,9.06
